UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1016,1016,457,test_user17,testing,test_user17-3YPi,74,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:55:06,COMPLETED,0:0,1,system_testing,86400,2025-07-29T17:07:58,,00:00:00,361856,2827,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:0,,,1M,1,1,00:00:01,64,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedMain;StartReceived,,,
,,457.batch,,testing,batch,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:55:06,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,180928,2827,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,457.extern,,testing,extern,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:55:06,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,361856,2827,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,128,00:00:00,128,00:00:00,,,,billing=128;cpu=128;node=1,,,,,,
,,457.0,,testing,mpicatnap,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:55:06,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,180928,2827,Block,64,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
1019,1019,458,test_user20,testing,test_user20-nH0S,40,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:33:44,COMPLETED,0:0,1,system_testing,86400,2025-07-29T17:07:58,,00:00:00,988800,1545,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,00:00:01,320,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
,,458.batch,,testing,batch,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:33:44,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,98880,1545,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,458.extern,,testing,extern,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:33:44,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,988800,1545,Unknown,5,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,640,00:00:00,640,00:00:00,,,,billing=640;cpu=640;node=5,,,,,,
,,458.0,,testing,mpicatnap,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:33:44,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,494400,1545,Block,320,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,320,00:00:00,320,00:00:00,,,,cpu=320;mem=0;node=5,,,,,,
1018,1018,459,test_user19,testing,test_user19-Hwsh,95,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T18:42:22,COMPLETED,0:0,1,system_testing,86400,2025-07-29T17:07:58,,00:00:00,4349184,5663,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:00:01,384,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
,,459.batch,,testing,batch,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T18:42:22,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,362432,5663,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,459.extern,,testing,extern,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T18:42:22,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,4349184,5663,Unknown,6,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,768,00:00:00,768,00:00:00,,,,billing=768;cpu=768;node=6,,,,,,
,,459.0,,testing,mpicatnap,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T18:42:22,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,2174592,5663,Block,384,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,384,00:00:00,384,00:00:00,,,,cpu=384;mem=0;node=6,,,,,,
1017,1017,460,test_user18,testing,test_user18-PHzy,32,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:17:15,COMPLETED,0:0,1,system_testing,86400,2025-07-29T17:07:58,,00:00:00,427008,556,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:00:01,384,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
,,460.batch,,testing,batch,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:17:15,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,35584,556,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,460.extern,,testing,extern,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:17:15,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,427008,556,Unknown,6,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,768,00:00:00,768,00:00:00,,,,billing=768;cpu=768;node=6,,,,,,
,,460.0,,testing,mpicatnap,,2025-07-29T17:07:59,2025-07-29T17:07:59,2025-07-29T17:17:15,COMPLETED,0:0,,,,2025-07-29T17:07:59,,00:00:00,213504,556,Block,384,,,,,0,,,,,,,,00:00:00,6,,,,,,,6,6,,,384,00:00:00,384,00:00:00,,,,cpu=384;mem=0;node=6,,,,,,
1014,1014,461,test_user15,testing,test_user15-wIWr,119,2025-07-29T17:08:04,2025-07-29T17:33:55,2025-07-29T19:25:54,COMPLETED,0:0,1,system_testing,86400,2025-07-29T17:08:04,,00:00:00,6880256,6719,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:0,,,8M,8,8,00:25:51,794112,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
,,461.batch,,testing,batch,,2025-07-29T17:33:55,2025-07-29T17:33:55,2025-07-29T19:25:54,COMPLETED,0:0,,,,2025-07-29T17:33:55,,00:00:00,430016,6719,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,461.extern,,testing,extern,,2025-07-29T17:33:55,2025-07-29T17:33:55,2025-07-29T19:25:54,COMPLETED,0:0,,,,2025-07-29T17:33:55,,00:00:00,6880256,6719,Unknown,8,,,,,0,,,,,,,,00:00:00,8,,,,,,,8,8,,,1024,00:00:00,1024,00:00:00,,,,billing=1024;cpu=1024;node=8,,,,,,
